"조사연도","기준연도","학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"2024","2023","경희사이버대학교","사립","서울","13189414940","13154062940","3000000","32352000","5249618560","449036000","52672000","6685310","0","55776500","4685448750","18439033500"
"2024","2023","계명대학교","사립","대구","55057567512","53938684602","182097470","936785440","27063290187","12234894500","3676046000","1907203955","0","237629000","9007516732","82120857699"
"2024","2023","계명문화대학교","사립","대구","15873133480","15741770470","25545010","105818000","5113235576","364396400","88070600","286270408","0","25084000","4349414168","20986369056"
"2024","2023","계원예술대학교","사립","경기","7397429396","7321852996","14816400","60760000","2766932580","824877000","1123998850","415208150","0","10100000","392748580","10164361976"
"2024","2023","고려대학교","사립","서울","38704034432","28187613272","900206320","9616214840","30163612682","2585703800","9254404378","4174248629","2000000","383611000","13763644875","68867647114"
"2024","2023","고려대학교(세종)","사립","세종","13092025924","12748982807","53120500","289922617","9684430537","625500500","4187664800","924985287","0","143989000","3802290950","22776456461"
"2024","2023","고려사이버대학교","사립","서울","7816188552","7687712152","13252200","115224200","2772256248","432138000","108624000","2367598","0","38828000","2190298650","10588444800"
"2024","2023","고신대학교","사립","부산","9275496555","8687691882","14170000","573634673","3329190157","1186639000","203521900","287966614","0","116899000","1534163643","12604686712"
"2024","2023","공주교육대학교","국공립","충남","2204251900","2128186900","38646000","37419000","1004599080","353628000","93927000","285725080","0","0","271319000","3208850980"
"2024","2023","광신대학교","사립","광주","1638118286","1624118286","0","14000000","567187334","6133000","0","32296334","0","0","528758000","2205305620"
"2024","2023","광양보건대학교","사립","전남","8300000","0","0","8300000","31420000","1300000","0","0","0","12720000","17400000","39720000"
"2024","2023","광운대학교","사립","서울","16367460297","15859383137","106946660","401130500","9721698972","2557115500","2562213400","1377740602","0","30176000","3194453470","26089159269"
"2024","2023","광주가톨릭대학교","사립","전남","0","","","","0","","","","","","","0"
"2024","2023","광주과학기술원","국공립","광주","595968749","518208749","6000000","71760000","4685160781","154706000","108150000","8939866","0","0","4413364915","5281129530"
"2024","2023","광주교육대학교","국공립","광주","3902078047","3242967487","630338200","28772360","982443338","225672500","79712500","309413588","0","0","367644750","4884521385"
"2024","2023","광주대학교","사립","광주","17677016195","17458303235","24172960","194540000","6621321134","1190055600","539019500","182534944","2116000","78338000","4629257090","24298337329"
"2024","2023","광주보건대학교","사립","광주","9892214071","9814920071","6000000","71294000","1784933968","752683200","535565100","70418688","0","37272800","388994180","11677148039"
"2024","2023","광주여자대학교","사립","광주","11322042346","11134282286","23819060","163941000","4207915055","776244300","509658000","353889685","0","2623000","2565500070","15529957401"
"2024","2023","구미대학교","사립","경북","19201616962","19010142542","92216420","99258000","8609905488","290742000","28920320","547862138","0","17528000","7724853030","27811522450"
"2024","2023","국립강릉원주대학교","국공립","강원","16710456464","15943824030","211251460","555380974","5853089410","2645063410","1009459190","518852030","0","0","1679714780","22563545874"
"2024","2023","국립공주대학교","국공립","충남","24541999695","24074309470","128103710","339586515","7779279706","3559791681","1574370500","1170458080","3285800","0","1471373645","32321279401"
"2024","2023","국립군산대학교","국공립","전북","14547825608","13984339543","278825140","284660925","3842545652","2073962750","631551760","290817712","110700","0","846102730","18390371260"
"2024","2023","국립금오공과대학교","국공립","경북","11970404782","11325151182","34085280","611168320","2657358528","651133840","637070600","377164188","0","0","991989900","14627763310"
"2024","2023","국립목포대학교","국공립","전남","18712556536","17548607321","566628120","597321095","3583644814","1228719960","687223900","714747114","0","0","952953840","22296201350"
"2024","2023","국립목포해양대학교","국공립","전남","4651229815","4103045225","42866590","505318000","1271962480","727766000","63836000","168016820","0","0","312343660","5923192295"
"2024","2023","국립부경대학교","국공립","부산","33414337985","31719842965","101258210","1593236810","9726311800","3008724750","2741235010","1754547980","0","0","2221804060","43140649785"
"2024","2023","국립순천대학교","국공립","전남","14835397524","14108717557","394623620","332056347","3856723735","1674332000","1181107500","311583755","0","0","689700480","18692121259"
"2024","2023","국립안동대학교","국공립","경북","13115409105","12248511320","485798480","381099305","3011436263","1539746530","736295950","388558013","0","0","346835770","16126845368"
"2024","2023","국립창원대학교","국공립","경남","16343257083","15649631423","22260710","671364950","5295259410","1664614470","1356038480","1020658582","0","0","1253947878","21638516493"
"2024","2023","국립한국교통대학교","국공립","충북","16668625873","16420496043","82253830","165876000","6112466014","3555204250","374460000","1082527744","0","0","1100274020","22781091887"
"2024","2023","국립한국해양대학교","국공립","부산","13869076127","12149732547","222108400","1497235180","3120163310","1913585810","693721900","229751600","0","0","283104000","16989239437"
"2024","2023","국립한밭대학교","국공립","대전","17333273528","16989932088","67742380","275599060","5656398054","2424318650","1200880160","1161475754","0","0","869723490","22989671582"
"2024","2023","국민대학교","사립","서울","33675034030","31178487649","102652240","2393894141","20272648922","4883728540","5645006620","1661182570","0","72074000","8010657192","53947682952"
"2024","2023","국제대학교","사립","경기","7440975507","7324278007","6800000","109897500","1976688448","217764000","673006570","111589150","0","42325000","932003728","9417663955"
"2024","2023","국제사이버대학교","사립","경기","5827410000","5827410000","0","0","1527255000","227703000","465891000","0","0","157290000","676371000","7354665000"
"2024","2023","군산간호대학교","사립","전북","2976754186","2951754186","0","25000000","850000000","184187000","283208335","26712998","0","0","355891667","3826754186"
"2024","2023","군장대학교","사립","전북","4746935193","4694735193","2900000","49300000","1344241584","61798040","50500000","14792194","0","61983000","1155168350","6091176777"
"2024","2023","극동대학교","사립","충북","6886010499","6826402779","7105720","52502000","3402404492","910429540","649512500","286226642","0","53158400","1503077410","10288414991"
"2024","2023","글로벌사이버대학교","사립","충남","3314453450","3302637450","0","11816000","910754200","8610000","15708000","3702700","0","12600000","870133500","4225207650"
"2024","2023","금강대학교","사립","충남","459351646","459351646","0","0","874110746","656131335","0","27554998","0","0","190424413","1333462392"
"2024","2023","기독간호대학교","사립","광주","1563511085","1556340278","0","7170807","357298827","149967000","124045621","7950398","0","0","75335808","1920809912"
"2024","2023","김천대학교","사립","경북","7099951023","6742631884","249739627","107579512","3313505621","540247500","189973667","109004784","0","34411600","2439868070","10413456644"
"2024","2023","김포대학교","사립","경기","2457466597","2433281497","4185100","20000000","2684790668","152792500","1615266700","19224878","0","5703000","891803590","5142257265"
"2024","2023","김해대학교","사립","경남","5610375762","5446093762","7968000","156314000","1262216074","267150600","11139200","96316674","0","0","887609600","6872591836"
"2024","2023","나사렛대학교","사립","충남","15189323431","15057095671","12243760","119984000","5991023744","2436674000","1492149250","259173494","0","53770000","1749257000","21180347175"
"2024","2023","나주대학교","사립","전남","238794625","233994625","0","4800000","3513780500","0","174194000","0","0","0","3339586500","3752575125"
"2024","2023","남부대학교","사립","광주","7147184054","7085553994","3000000","58630060","3437630730","534191220","397596900","25717530","0","0","2480125080","10584814784"
"2024","2023","남서울대학교","사립","충남","22059455357","21671060877","69475480","318919000","13067999648","4785342750","5228690660","323086788","0","142011000","2588868450","35127455005"
"2024","2023","농협대학교","사립","경기","696182747","673444007","7738740","15000000","358988238","170226000","80066000","16628238","0","0","92068000","1055170985"
"2024","2023","단국대학교","사립","경기","46778220862","45180740849","101828670","1495651343","25470280047","10331859481","6276151039","554343414","0","242097000","8065829113","72248500909"
"2024","2023","대경대학교","사립","경북","11731285545","11657541915","9038830","64704800","5302141842","198888520","0","123396392","0","12280200","4967576730","17033427387"
"2024","2023","대구가톨릭대학교","사립","경북","34963289028","34127864688","336912130","498512210","12186144084","3657564641","326576700","1361704208","0","472503500","6367795035","47149433112"
"2024","2023","대구경북과학기술원","국공립","대구","180429969","177429969","0","3000000","2111938506","9480000","59400000","76326006","0","0","1966732500","2292368475"
"2024","2023","대구공업대학교","사립","대구","4440787838","4423537838","0","17250000","1653621592","60730000","0","47798492","0","5800000","1539293100","6094409430"
"2024","2023","대구과학대학교","사립","대구","15730577710","15670095550","3392160","57090000","5162991444","791573300","18259950","344046396","0","5466660","4003645138","20893569154"
"2024","2023","대구교육대학교","국공립","대구","2177438732","1996008172","18739560","162691000","1064521006","264034000","311737000","224442006","0","0","264308000","3241959738"
"2024","2023","대구대학교","사립","경북","50759002090","49175098797","418186980","1165716313","15081238828","7886531750","1067264900","1489875041","0","108086000","4529481137","65840240918"
